101, False, (6, 3, 0)
102, False, (0, 5, 0)
104, False, (-5, 3, 0)
105, False, (3, 0, 0)
203, False, (0.00, 0.00, 0.00)
201, True, (0.45, 3.54, -1.00)
206, False, (0.00, 0.00, 0.00)
205, False, (0.00, 0.00, 0.00)
207, False, (0.00, 0.00, 0.00)
204, False, (0.00, 0.00, 0.00)
202, False, (0.00, 0.00, 0.00)
-1, True, (0.91, 3.31, -1.00)
-1, False, (-3.00, -1.00, 0.00)
-1, False, (-3.00, -1.00, 0.00)
-1, False, (-3.00, -1.00, 0.00)
-1, False, (-3.00, -1.00, 0.00)
-1, False, (-3.00, -1.00, 0.00)
-1, False, (-3.00, -1.00, 0.00)
